AreaCode,AreaName,Livestock_Type_Code,Livestock_Type,ParamName,ParamValue,Units
1,Armenia,960,"Cattle, dairy",TAM,275,kg/animal
1,Armenia,961,"Cattle, non-dairy",TAM,173,kg/animal
1,Armenia,946,Buffalo,TAM,380,kg/animal
1,Armenia,1049,"Swine, market",TAM,28,kg/animal
1,Armenia,1051,"Swine, breeding",TAM,28,kg/animal
1,Armenia,1052,"Chicken, layers",TAM,1.8,kg/animal
1,Armenia,1053,"Chicken, broilers",TAM,0.9,kg/animal
1,Armenia,1068,Ducks,TAM,2.7,kg/animal
1,Armenia,1079,Turkeys,TAM,6.8,kg/animal
1,Armenia,976,Sheep,TAM,28,kg/animal
1,Armenia,1016,Goats,TAM,30,kg/animal
1,Armenia,1096,Horses,TAM,238,kg/animal
1,Armenia,1107,Asses,TAM,130,kg/animal
1,Armenia,1110,Mules,TAM,130,kg/animal
1,Armenia,1126,Camels,TAM,217,kg/animal
1,Armenia,1177,Llamas,TAM,120,kg/animal
2,Afghanistan,960,"Cattle, dairy",TAM,275,kg/animal
2,Afghanistan,961,"Cattle, non-dairy",TAM,110,kg/animal
2,Afghanistan,946,Buffalo,TAM,295,kg/animal
2,Afghanistan,1049,"Swine, market",TAM,28,kg/animal
2,Afghanistan,1051,"Swine, breeding",TAM,28,kg/animal
2,Afghanistan,1052,"Chicken, layers",TAM,1.8,kg/animal
2,Afghanistan,1053,"Chicken, broilers",TAM,0.9,kg/animal
2,Afghanistan,1068,Ducks,TAM,2.7,kg/animal
2,Afghanistan,1079,Turkeys,TAM,6.8,kg/animal
2,Afghanistan,976,Sheep,TAM,28,kg/animal
2,Afghanistan,1016,Goats,TAM,30,kg/animal
2,Afghanistan,1096,Horses,TAM,238,kg/animal
2,Afghanistan,1107,Asses,TAM,130,kg/animal
2,Afghanistan,1110,Mules,TAM,130,kg/animal
2,Afghanistan,1126,Camels,TAM,217,kg/animal
2,Afghanistan,1177,Llamas,TAM,120,kg/animal
3,Albania,960,"Cattle, dairy",TAM,600,kg/animal
3,Albania,961,"Cattle, non-dairy",TAM,420,kg/animal
3,Albania,946,Buffalo,TAM,380,kg/animal
3,Albania,1049,"Swine, market",TAM,50,kg/animal
3,Albania,1051,"Swine, breeding",TAM,198,kg/animal
3,Albania,1052,"Chicken, layers",TAM,1.8,kg/animal
3,Albania,1053,"Chicken, broilers",TAM,0.9,kg/animal
3,Albania,1068,Ducks,TAM,2.7,kg/animal
3,Albania,1079,Turkeys,TAM,6.8,kg/animal
3,Albania,976,Sheep,TAM,48.5,kg/animal
3,Albania,1016,Goats,TAM,38.5,kg/animal
3,Albania,1096,Horses,TAM,377,kg/animal
3,Albania,1107,Asses,TAM,130,kg/animal
3,Albania,1110,Mules,TAM,130,kg/animal
3,Albania,1126,Camels,TAM,217,kg/animal
3,Albania,1177,Llamas,TAM,120,kg/animal
4,Algeria,960,"Cattle, dairy",TAM,275,kg/animal
4,Algeria,961,"Cattle, non-dairy",TAM,173,kg/animal
4,Algeria,946,Buffalo,TAM,380,kg/animal
4,Algeria,1049,"Swine, market",TAM,28,kg/animal
4,Algeria,1051,"Swine, breeding",TAM,28,kg/animal
4,Algeria,1052,"Chicken, layers",TAM,1.8,kg/animal
4,Algeria,1053,"Chicken, broilers",TAM,0.9,kg/animal
4,Algeria,1068,Ducks,TAM,2.7,kg/animal
4,Algeria,1079,Turkeys,TAM,6.8,kg/animal
4,Algeria,976,Sheep,TAM,28,kg/animal
4,Algeria,1016,Goats,TAM,30,kg/animal
4,Algeria,1096,Horses,TAM,238,kg/animal
4,Algeria,1107,Asses,TAM,130,kg/animal
4,Algeria,1110,Mules,TAM,130,kg/animal
4,Algeria,1126,Camels,TAM,217,kg/animal
4,Algeria,1177,Llamas,TAM,120,kg/animal
5,American Samoa,960,"Cattle, dairy",TAM,500,kg/animal
5,American Samoa,961,"Cattle, non-dairy",TAM,330,kg/animal
5,American Samoa,946,Buffalo,TAM,380,kg/animal
5,American Samoa,1049,"Swine, market",TAM,45,kg/animal
5,American Samoa,1051,"Swine, breeding",TAM,180,kg/animal
5,American Samoa,1052,"Chicken, layers",TAM,1.8,kg/animal
5,American Samoa,1053,"Chicken, broilers",TAM,0.9,kg/animal
5,American Samoa,1068,Ducks,TAM,2.7,kg/animal
5,American Samoa,1079,Turkeys,TAM,6.8,kg/animal
5,American Samoa,976,Sheep,TAM,28,kg/animal
5,American Samoa,1016,Goats,TAM,30,kg/animal
5,American Samoa,1096,Horses,TAM,238,kg/animal
5,American Samoa,1107,Asses,TAM,130,kg/animal
5,American Samoa,1110,Mules,TAM,130,kg/animal
5,American Samoa,1126,Camels,TAM,217,kg/animal
5,American Samoa,1177,Llamas,TAM,120,kg/animal
6,Andorra,960,"Cattle, dairy",TAM,600,kg/animal
6,Andorra,961,"Cattle, non-dairy",TAM,420,kg/animal
6,Andorra,946,Buffalo,TAM,380,kg/animal
6,Andorra,1049,"Swine, market",TAM,50,kg/animal
6,Andorra,1051,"Swine, breeding",TAM,198,kg/animal
6,Andorra,1052,"Chicken, layers",TAM,1.8,kg/animal
6,Andorra,1053,"Chicken, broilers",TAM,0.9,kg/animal
6,Andorra,1068,Ducks,TAM,2.7,kg/animal
6,Andorra,1079,Turkeys,TAM,6.8,kg/animal
6,Andorra,976,Sheep,TAM,48.5,kg/animal
6,Andorra,1016,Goats,TAM,38.5,kg/animal
6,Andorra,1096,Horses,TAM,377,kg/animal
6,Andorra,1107,Asses,TAM,130,kg/animal
6,Andorra,1110,Mules,TAM,130,kg/animal
6,Andorra,1126,Camels,TAM,217,kg/animal
6,Andorra,1177,Llamas,TAM,120,kg/animal
7,Angola,960,"Cattle, dairy",TAM,275,kg/animal
7,Angola,961,"Cattle, non-dairy",TAM,173,kg/animal
7,Angola,946,Buffalo,TAM,380,kg/animal
7,Angola,1049,"Swine, market",TAM,28,kg/animal
7,Angola,1051,"Swine, breeding",TAM,28,kg/animal
7,Angola,1052,"Chicken, layers",TAM,1.8,kg/animal
7,Angola,1053,"Chicken, broilers",TAM,0.9,kg/animal
7,Angola,1068,Ducks,TAM,2.7,kg/animal
7,Angola,1079,Turkeys,TAM,6.8,kg/animal
7,Angola,976,Sheep,TAM,28,kg/animal
7,Angola,1016,Goats,TAM,30,kg/animal
7,Angola,1096,Horses,TAM,238,kg/animal
7,Angola,1107,Asses,TAM,130,kg/animal
7,Angola,1110,Mules,TAM,130,kg/animal
7,Angola,1126,Camels,TAM,217,kg/animal
7,Angola,1177,Llamas,TAM,120,kg/animal
8,Antigua and Barbuda,960,"Cattle, dairy",TAM,400,kg/animal
8,Antigua and Barbuda,961,"Cattle, non-dairy",TAM,305,kg/animal
8,Antigua and Barbuda,946,Buffalo,TAM,380,kg/animal
8,Antigua and Barbuda,1049,"Swine, market",TAM,28,kg/animal
8,Antigua and Barbuda,1051,"Swine, breeding",TAM,28,kg/animal
8,Antigua and Barbuda,1052,"Chicken, layers",TAM,1.8,kg/animal
8,Antigua and Barbuda,1053,"Chicken, broilers",TAM,0.9,kg/animal
8,Antigua and Barbuda,1068,Ducks,TAM,2.7,kg/animal
8,Antigua and Barbuda,1079,Turkeys,TAM,6.8,kg/animal
8,Antigua and Barbuda,976,Sheep,TAM,28,kg/animal
8,Antigua and Barbuda,1016,Goats,TAM,30,kg/animal
8,Antigua and Barbuda,1096,Horses,TAM,238,kg/animal
8,Antigua and Barbuda,1107,Asses,TAM,130,kg/animal
8,Antigua and Barbuda,1110,Mules,TAM,130,kg/animal
8,Antigua and Barbuda,1126,Camels,TAM,217,kg/animal
8,Antigua and Barbuda,1177,Llamas,TAM,120,kg/animal
9,Argentina,960,"Cattle, dairy",TAM,400,kg/animal
9,Argentina,961,"Cattle, non-dairy",TAM,305,kg/animal
9,Argentina,946,Buffalo,TAM,380,kg/animal
9,Argentina,1049,"Swine, market",TAM,28,kg/animal
9,Argentina,1051,"Swine, breeding",TAM,28,kg/animal
9,Argentina,1052,"Chicken, layers",TAM,1.8,kg/animal
9,Argentina,1053,"Chicken, broilers",TAM,0.9,kg/animal
9,Argentina,1068,Ducks,TAM,2.7,kg/animal
9,Argentina,1079,Turkeys,TAM,6.8,kg/animal
9,Argentina,976,Sheep,TAM,28,kg/animal
9,Argentina,1016,Goats,TAM,30,kg/animal
9,Argentina,1096,Horses,TAM,238,kg/animal
9,Argentina,1107,Asses,TAM,130,kg/animal
9,Argentina,1110,Mules,TAM,130,kg/animal
9,Argentina,1126,Camels,TAM,217,kg/animal
9,Argentina,1177,Llamas,TAM,120,kg/animal
10,Australia,960,"Cattle, dairy",TAM,500,kg/animal
10,Australia,961,"Cattle, non-dairy",TAM,330,kg/animal
10,Australia,946,Buffalo,TAM,380,kg/animal
10,Australia,1049,"Swine, market",TAM,45,kg/animal
10,Australia,1051,"Swine, breeding",TAM,180,kg/animal
10,Australia,1052,"Chicken, layers",TAM,1.8,kg/animal
10,Australia,1053,"Chicken, broilers",TAM,0.9,kg/animal
10,Australia,1068,Ducks,TAM,2.7,kg/animal
10,Australia,1079,Turkeys,TAM,6.8,kg/animal
10,Australia,976,Sheep,TAM,48.5,kg/animal
10,Australia,1016,Goats,TAM,38.5,kg/animal
10,Australia,1096,Horses,TAM,377,kg/animal
10,Australia,1107,Asses,TAM,130,kg/animal
10,Australia,1110,Mules,TAM,130,kg/animal
10,Australia,1126,Camels,TAM,217,kg/animal
10,Australia,1177,Llamas,TAM,120,kg/animal
11,Austria,960,"Cattle, dairy",TAM,600,kg/animal
11,Austria,961,"Cattle, non-dairy",TAM,420,kg/animal
11,Austria,946,Buffalo,TAM,380,kg/animal
11,Austria,1049,"Swine, market",TAM,50,kg/animal
11,Austria,1051,"Swine, breeding",TAM,198,kg/animal
11,Austria,1052,"Chicken, layers",TAM,1.8,kg/animal
11,Austria,1053,"Chicken, broilers",TAM,0.9,kg/animal
11,Austria,1068,Ducks,TAM,2.7,kg/animal
11,Austria,1079,Turkeys,TAM,6.8,kg/animal
11,Austria,976,Sheep,TAM,48.5,kg/animal
11,Austria,1016,Goats,TAM,38.5,kg/animal
11,Austria,1096,Horses,TAM,377,kg/animal
11,Austria,1107,Asses,TAM,130,kg/animal
11,Austria,1110,Mules,TAM,130,kg/animal
11,Austria,1126,Camels,TAM,217,kg/animal
11,Austria,1177,Llamas,TAM,120,kg/animal
12,Bahamas,960,"Cattle, dairy",TAM,400,kg/animal
12,Bahamas,961,"Cattle, non-dairy",TAM,305,kg/animal
12,Bahamas,946,Buffalo,TAM,380,kg/animal
12,Bahamas,1049,"Swine, market",TAM,28,kg/animal
12,Bahamas,1051,"Swine, breeding",TAM,28,kg/animal
12,Bahamas,1052,"Chicken, layers",TAM,1.8,kg/animal
12,Bahamas,1053,"Chicken, broilers",TAM,0.9,kg/animal
12,Bahamas,1068,Ducks,TAM,2.7,kg/animal
12,Bahamas,1079,Turkeys,TAM,6.8,kg/animal
12,Bahamas,976,Sheep,TAM,28,kg/animal
12,Bahamas,1016,Goats,TAM,30,kg/animal
12,Bahamas,1096,Horses,TAM,238,kg/animal
12,Bahamas,1107,Asses,TAM,130,kg/animal
12,Bahamas,1110,Mules,TAM,130,kg/animal
12,Bahamas,1126,Camels,TAM,217,kg/animal
12,Bahamas,1177,Llamas,TAM,120,kg/animal
13,Bahrain,960,"Cattle, dairy",TAM,275,kg/animal
13,Bahrain,961,"Cattle, non-dairy",TAM,173,kg/animal
13,Bahrain,946,Buffalo,TAM,380,kg/animal
13,Bahrain,1049,"Swine, market",TAM,28,kg/animal
13,Bahrain,1051,"Swine, breeding",TAM,28,kg/animal
13,Bahrain,1052,"Chicken, layers",TAM,1.8,kg/animal
13,Bahrain,1053,"Chicken, broilers",TAM,0.9,kg/animal
13,Bahrain,1068,Ducks,TAM,2.7,kg/animal
13,Bahrain,1079,Turkeys,TAM,6.8,kg/animal
13,Bahrain,976,Sheep,TAM,28,kg/animal
13,Bahrain,1016,Goats,TAM,30,kg/animal
13,Bahrain,1096,Horses,TAM,238,kg/animal
13,Bahrain,1107,Asses,TAM,130,kg/animal
13,Bahrain,1110,Mules,TAM,130,kg/animal
13,Bahrain,1126,Camels,TAM,217,kg/animal
13,Bahrain,1177,Llamas,TAM,120,kg/animal
14,Barbados,960,"Cattle, dairy",TAM,400,kg/animal
14,Barbados,961,"Cattle, non-dairy",TAM,305,kg/animal
14,Barbados,946,Buffalo,TAM,380,kg/animal
14,Barbados,1049,"Swine, market",TAM,28,kg/animal
14,Barbados,1051,"Swine, breeding",TAM,28,kg/animal
14,Barbados,1052,"Chicken, layers",TAM,1.8,kg/animal
14,Barbados,1053,"Chicken, broilers",TAM,0.9,kg/animal
14,Barbados,1068,Ducks,TAM,2.7,kg/animal
14,Barbados,1079,Turkeys,TAM,6.8,kg/animal
14,Barbados,976,Sheep,TAM,28,kg/animal
14,Barbados,1016,Goats,TAM,30,kg/animal
14,Barbados,1096,Horses,TAM,238,kg/animal
14,Barbados,1107,Asses,TAM,130,kg/animal
14,Barbados,1110,Mules,TAM,130,kg/animal
14,Barbados,1126,Camels,TAM,217,kg/animal
14,Barbados,1177,Llamas,TAM,120,kg/animal
15,Belgium-Luxembourg,960,"Cattle, dairy",TAM,600,kg/animal
15,Belgium-Luxembourg,961,"Cattle, non-dairy",TAM,420,kg/animal
15,Belgium-Luxembourg,946,Buffalo,TAM,380,kg/animal
15,Belgium-Luxembourg,1049,"Swine, market",TAM,50,kg/animal
15,Belgium-Luxembourg,1051,"Swine, breeding",TAM,198,kg/animal
15,Belgium-Luxembourg,1052,"Chicken, layers",TAM,1.8,kg/animal
15,Belgium-Luxembourg,1053,"Chicken, broilers",TAM,0.9,kg/animal
15,Belgium-Luxembourg,1068,Ducks,TAM,2.7,kg/animal
15,Belgium-Luxembourg,1079,Turkeys,TAM,6.8,kg/animal
15,Belgium-Luxembourg,976,Sheep,TAM,48.5,kg/animal
15,Belgium-Luxembourg,1016,Goats,TAM,38.5,kg/animal
15,Belgium-Luxembourg,1096,Horses,TAM,377,kg/animal
15,Belgium-Luxembourg,1107,Asses,TAM,130,kg/animal
