"Item Group Code","Item Group","Item Code","Item","Element Code","Element","Factor"
"2071","Bovine Meat","874","Meat, beef and veal sausages","5610","Import Quantity","1"
"2071","Bovine Meat","874","Meat, beef and veal sausages","5910","Export Quantity","1"
"2071","Bovine Meat","872","Meat, beef, dried, salted, smoked","5610","Import Quantity","1.3"
"2071","Bovine Meat","872","Meat, beef, dried, salted, smoked","5910","Export Quantity","1.3"
"2071","Bovine Meat","875","Meat, beef, preparations","5610","Import Quantity","1.3"
"2071","Bovine Meat","875","Meat, beef, preparations","5910","Export Quantity","1.3"
"2071","Bovine Meat","947","Meat, buffalo","5610","Import Quantity","1"
"2071","Bovine Meat","947","Meat, buffalo","5910","Export Quantity","1"
"2071","Bovine Meat","867","Meat, cattle","5610","Import Quantity","1"
"2071","Bovine Meat","867","Meat, cattle","5910","Export Quantity","1"
"2071","Bovine Meat","870","Meat, cattle, boneless (beef & veal)","5610","Import Quantity","1.3"
"2071","Bovine Meat","870","Meat, cattle, boneless (beef & veal)","5910","Export Quantity","1.3"
"2071","Bovine Meat","873","Meat, extracts","5610","Import Quantity","1.3"
"2071","Bovine Meat","873","Meat, extracts","5910","Export Quantity","1.3"
"2071","Bovine Meat","877","Meat, homogenized preparations","5610","Import Quantity","1.2"
"2071","Bovine Meat","877","Meat, homogenized preparations","5910","Export Quantity","1.2"
"1953","Cassava Equivalent","128","Cassava dried","5610","Import Quantity","2.5"
"1953","Cassava Equivalent","128","Cassava dried","5910","Export Quantity","2.5"
"1953","Cassava Equivalent","126","Flour, cassava","5610","Import Quantity","5"
"1953","Cassava Equivalent","126","Flour, cassava","5910","Export Quantity","5"
"1953","Cassava Equivalent","129","Starch, cassava","5610","Import Quantity","5"
"1953","Cassava Equivalent","129","Starch, cassava","5910","Export Quantity","5"
"1953","Cassava Equivalent","127","Tapioca, cassava","5610","Import Quantity","5"
"1953","Cassava Equivalent","127","Tapioca, cassava","5910","Export Quantity","5"
"1944","Cereals","44","Barley","5610","Import Quantity","1"
"1944","Cereals","44","Barley","5910","Export Quantity","1"
"1944","Cereals","89","Buckwheat","5610","Import Quantity","1"
"1944","Cereals","89","Buckwheat","5910","Export Quantity","1"
"1944","Cereals","101","Canary seed","5610","Import Quantity","1"
"1944","Cereals","101","Canary seed","5910","Export Quantity","1"
"1944","Cereals","108","Cereals nes","5610","Import Quantity","1"
"1944","Cereals","108","Cereals nes","5910","Export Quantity","1"
"1944","Cereals","16","Flour, wheat","5610","Import Quantity","1.389"
"1944","Cereals","16","Flour, wheat","5910","Export Quantity","1.389"
"1944","Cereals","94","Fonio","5610","Import Quantity","1"
"1944","Cereals","94","Fonio","5910","Export Quantity","1"
"1944","Cereals","103","Grain, mixed","5610","Import Quantity","1"
"1944","Cereals","103","Grain, mixed","5910","Export Quantity","1"
"1944","Cereals","56","Maize","5610","Import Quantity","1"
"1944","Cereals","56","Maize","5910","Export Quantity","1"
"1944","Cereals","79","Millet","5610","Import Quantity","1"
"1944","Cereals","79","Millet","5910","Export Quantity","1"
"1944","Cereals","75","Oats","5610","Import Quantity","1"
"1944","Cereals","75","Oats","5910","Export Quantity","1"
"1944","Cereals","68","Popcorn","5610","Import Quantity","1"
"1944","Cereals","68","Popcorn","5910","Export Quantity","1"
"1944","Cereals","92","Quinoa","5610","Import Quantity","1"
"1944","Cereals","92","Quinoa","5910","Export Quantity","1"
"1944","Cereals","30","Rice - total  (Rice milled equivalent)","5610","Import Quantity",""
"1944","Cereals","30","Rice - total  (Rice milled equivalent)","5910","Export Quantity",""
"1944","Cereals","32","Rice, broken","5610","Import Quantity","1"
"1944","Cereals","32","Rice, broken","5910","Export Quantity","1"
"1944","Cereals","28","Rice, husked","5610","Import Quantity","1"
"1944","Cereals","28","Rice, husked","5910","Export Quantity","1"
"1944","Cereals","31","Rice, milled","5610","Import Quantity","1"
"1944","Cereals","31","Rice, milled","5910","Export Quantity","1"
