"Item Group Code","Item Group","Item Code","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"1882","Agricult.Products, Total","800","Agave fibres nes","1","","530500","530500","01929.06"
"1882","Agricult.Products, Total","862","Alfalfa meal and pellets","1","","121410","121410","23320"
"1882","Agricult.Products, Total","231","Almonds shelled","1","","080212","080212","21422"
"1882","Agricult.Products, Total","221","Almonds, with shell","1","","080211","080211","01371"
"1882","Agricult.Products, Total","1171","Animals live nes","1","","010611, 010612, 010619, 010620, 010639, 010690","010611, 010612, 010619, 010620, 010633, 010649","02199.20"
"1882","Agricult.Products, Total","711","Anise, badian, fennel, coriander","1","","090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962","01654"
"1882","Agricult.Products, Total","515","Apples","1","","080810","080810","01341"
"1882","Agricult.Products, Total","526","Apricots","1","","080910","080910","01343"
"1882","Agricult.Products, Total","527","Apricots, dry","1","","081310","081310","21419.01"
"1882","Agricult.Products, Total","226","Areca nuts","1","","080290","080280","01379.01"
"1882","Agricult.Products, Total","366","Artichokes","1","","070990","070991","01216"
"1882","Agricult.Products, Total","367","Asparagus","1","","070920","070920","01211"
"1882","Agricult.Products, Total","1107","Asses","1","","010110, 010190","010130","02132"
"1882","Agricult.Products, Total","572","Avocados","1","","080440","080440","01311"
"1882","Agricult.Products, Total","1039","Bacon and ham","1","","021011, 021012, 021019","021011, 021012, 021019","21181"
"1882","Agricult.Products, Total","170","Bagasse","1","","230320","230320","39140.02"
"1882","Agricult.Products, Total","203","Bambara beans","1","","071339","071334","01708"
"1882","Agricult.Products, Total","486","Bananas","1","","080300","080390","01312"
"1882","Agricult.Products, Total","44","Barley","1","","100300","100310, 100390","0115"
"1882","Agricult.Products, Total","46","Barley, pearled","1","","110419, 110429","110419, 110429","23140.05"
"1882","Agricult.Products, Total","45","Barley, pot","1","","110429","110429","23140.04"
"1882","Agricult.Products, Total","782","Bastfibres, other","1","","530310, 530390","530310, 530390","01922.02"
"1882","Agricult.Products, Total","176","Beans, dry","1","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","01701"
"1882","Agricult.Products, Total","414","Beans, green","1","","070820","070820","01241.90"
"1882","Agricult.Products, Total","1181","Beehives","1","","010690","010641","02196"
"1882","Agricult.Products, Total","51","Beer of barley","1","","220300","220300","24310.01"
"1882","Agricult.Products, Total","86","Beer of sorghum","1","","220300","220300","24310.04"
"1882","Agricult.Products, Total","1183","Beeswax","1","","152190","152190","02960.01"
"1882","Agricult.Products, Total","169","Beet pulp","1","","230320","230320","39140.01"
